Nombre, Annee
4,2005
4,2005
4,2005
3,2005
3,2005
4,2005
3,2005
4,2005
4,2005
5,2005
5,2005
3,2005
3,2005
3,1979
2,1979
4,1979
2,1979
3,1979
3,1979
4,1979
4,1979
4,1979
4,1979
3,1979
2,1979
3,1979
4,1979
2,1979
4,1979
1,1979
3,1979
2,1979
2,1979
3,1979
3,1979
3,1979
2,1979
4,1979
4,1979
2,1979
3,1979
3,1979
4,1979
4,1979
2,1979
2,1979
2,1979
4,1979
2,1979
4,1979
4,1979
3,1979
3,1979
2,1979
3,1979
3,1979
2,1979
2,1979
1,1979
3,1979
2,1979
2,1979
3,1979
4,1979
4,1979
4,1979
4,1979
4,1979
3,1979
3,1979
3,1979
2,1979
4,1979
3,1979
2,1979
2,1979
2,1979
3,1979
2,1979
3,1979
4,1979
4,1979
2,1979
3,1979
3,1979
4,1979
4,1979
2,1979
3,1979
3,1979
4,1979
2,1979
3,1979
2,1979
3,1979
3,1979
4,1979
4,1979
2,1979
3,1979
3,1979
4,1979
4,1979
4,1979
4,1979
2,1979
3,1979
1,1979
4,1979
4,1979
4,1979
2,1979
2,1979
3,1979
3,1979
4,1979
4,1979
3,1979
3,1979
3,1979
2,1979
4,1979
3,1979
3,1979
3,1979
2,1979
4,1979
2,1979
2,1979
4,1979
2,1979
2,1979
2,1979
3,198
2,198
2,198
4,198
4,198
2,198
4,198
3,198
4,198
4,198
4,198
3,198
3,198
2,198
2,198
3,198
3,198
4,198
4,198
4,198
4,198
4,198
3,198
2,198
1,198
2,198
2,198
2,198
2,198
3,198
3,198
3,198
4,198
3,198
3,198
2,198
4,198
2,198
4,198
3,198
2,198
2,198
3,198
3,198
3,198
3,198
4,198
4,198
2,198
3,198
4,198
2,198
2,198
3,198
3,198
4,198
4,198
2,198
4,198
1,198
