Type_logement,Nombre_pieces,Etages, Surface_Reelle, Annee_Construction, DP_consommation_reelle
"T3,""3"",""01"",""50"",""1958"",""189"""
"T2,""2"",""00"",""36"",""1958"",""189"""
"T3,""3"",""04"",""50"",""1958"",""189"""
"T2,""2"",""03"",""36"",""1958"",""189"""
"T2,""2"",""01"",""36"",""1958"",""189"""
"T2,""2"",""04"",""36"",""1958"",""189"""
"T5,""5"",""02"",""73"",""1958"",""189"""
"T2,""2"",""02"",""36"",""1958"",""189"""
"T1,""1"",""00"",""27"",""1958"",""189"""
"T2,""2"",""01"",""36"",""1958"",""189"""
"T5,""5"",""01"",""73"",""1958"",""189"""
"T2,""2"",""03"",""36"",""1958"",""189"""
"T5,""5"",""03"",""73"",""1958"",""189"""
"T5,""5"",""04"",""73"",""1958"",""189"""
"T5,""5"",""00"",""73"",""1958"",""189"""
"T3,""3"",""00"",""50"",""1958"",""189"""
"T3,""3"",""04"",""50"",""1958"",""189"""
"T3,""3"",""03"",""50"",""1958"",""189"""
"T3,""3"",""01"",""50"",""1958"",""189"""
"T2,""2"",""01"",""36"",""1958"",""189"""
"T1,""1"",""00"",""27"",""1958"",""189"""
"T2,""2"",""04"",""36"",""1958"",""189"""
"T3,""3"",""02"",""50"",""1958"",""189"""
"T2,""2"",""03"",""36"",""1958"",""189"""
"T2,""2"",""02"",""36"",""1958"",""189"""
"T4,""4"",""01"",""59"",""1958"",""189"""
"T3,""3"",""00"",""50"",""1958"",""189"""
"T3,""3"",""02"",""50"",""1958"",""189"""
"T3,""3"",""01"",""50"",""1958"",""189"""
"T4,""4"",""02"",""59"",""1958"",""189"""
"T3,""3"",""03"",""50"",""1958"",""189"""
"T4,""4"",""03"",""59"",""1958"",""189"""
"T4,""4"",""04"",""59"",""1958"",""189"""
"T3,""3"",""04"",""50"",""1958"",""189"""
"T3,""3"",""00"",""50"",""1958"",""189"""
"T1,""1"",""01"",""27"",""1958"",""189"""
"T4,""4"",""02"",""59"",""1958"",""189"""
"T1,""1"",""04"",""27"",""1958"",""189"""
"T4,""4"",""04"",""59"",""1958"",""189"""
"T3,""3"",""00"",""50"",""1958"",""189"""
"T4,""4"",""03"",""59"",""1958"",""189"""
"T1,""1"",""03"",""27"",""1958"",""189"""
"T1,""1"",""00"",""27"",""1958"",""189"""
"T4,""4"",""01"",""59"",""1958"",""189"""
"T1,""1"",""02"",""27"",""1958"",""189"""
"T2,""2"",""02"",""36"",""1958"",""189"""
"T1,""1"",""00"",""27"",""1958"",""189"""
"T2,""2"",""01"",""36"",""1958"",""189"""
"T5,""5"",""03"",""73"",""1958"",""189"""
"T2,""2"",""04"",""36"",""1958"",""189"""
"T5,""5"",""01"",""73"",""1958"",""189"""
"T5,""5"",""04"",""73"",""1958"",""189"""
"T5,""5"",""02"",""73"",""1958"",""189"""
"T5,""5"",""00"",""73"",""1958"",""189"""
"T2,""2"",""03"",""36"",""1958"",""189"""
"DI,""0"",""00"",,,"
"GA,""0"",""00"",""0"",,"
"GA,""0"",""00"",""0"",,"
"GA,""0"",""00"",""0"",,"
"GA,""0"",""00"",""0"",,"
"GA,""0"",""00"",""0"",,"
"GA,""0"",""00"",""0"",,"
"LV,""0"",""00"",""0"",,"
