ref;libA;titre;id_lieu;lib;lat;lng;occupation
BL;Antenne - BL;LOGEMENT;162;LOGEMENT - 505040124;49.51909640;0.09511080;Occup
BL;Antenne - BL;LOGEMENT;164;LOGEMENT - 505040128;49.51909640;0.09511080;Occup
BL;Antenne - BL;LOGEMENT;166;LOGEMENT - 505040129;49.51909640;0.09511080;Occup
BL;Antenne - BL;LOGEMENT;167;LOGEMENT - 505040123;49.51909640;0.09511080;Occup
BL;Antenne - BL;LOGEMENT;168;LOGEMENT - 505040122;49.51909640;0.09511080;Occup
BL;Antenne - BL;LOGEMENT;170;LOGEMENT - 505040126;49.51909640;0.09511080;Occup
BL;Antenne - BL;LOGEMENT;171;LOGEMENT - 505040127;49.51909640;0.09511080;Occup
BL;Antenne - BL;LOGEMENT;172;LOGEMENT - 505040125;49.51909640;0.09511080;Occup
BL;Antenne - BL;LOGEMENT;173;LOGEMENT - 505040121;49.51909640;0.09511080;Occup
BL;Antenne - BL;LOGEMENT;174;LOGEMENT - 505040130;49.51909640;0.09511080;Occup
BL;Antenne - BL;LOGEMENT;175;LOGEMENT - 505040139;49.51932510;0.09385880;Occup
BL;Antenne - BL;LOGEMENT;176;LOGEMENT - 505040138;49.51932510;0.09385880;Occup
BL;Antenne - BL;LOGEMENT;177;LOGEMENT - 505040135;49.51932510;0.09385880;Occup
BL;Antenne - BL;LOGEMENT;178;LOGEMENT - 505040136;49.51932510;0.09385880;Occup
BL;Antenne - BL;LOGEMENT;179;LOGEMENT - 505040132;49.51932510;0.09385880;Occup
BL;Antenne - BL;LOGEMENT;180;LOGEMENT - 505040134;49.51932510;0.09385880;Occup
BL;Antenne - BL;LOGEMENT;181;LOGEMENT - 505040131;49.51932510;0.09385880;Occup
BL;Antenne - BL;LOGEMENT;182;LOGEMENT - 505040140;49.51932510;0.09385880;Occup
BL;Antenne - BL;LOGEMENT;183;LOGEMENT - 505040137;49.51932510;0.09385880;Occup
BL;Antenne - BL;LOGEMENT;184;LOGEMENT - 505040133;49.51932510;0.09385880;Vacant
BL;Antenne - BL;LOGEMENT;187;LOGEMENT - 505050150;49.51911540;0.09511710;Occup
BL;Antenne - BL;LOGEMENT;189;LOGEMENT - 505050145;49.51911540;0.09511710;Occup
BL;Antenne - BL;LOGEMENT;190;LOGEMENT - 505050146;49.51911540;0.09511710;Occup
BL;Antenne - BL;LOGEMENT;192;LOGEMENT - 505050142;49.51911540;0.09511710;Occup
BL;Antenne - BL;LOGEMENT;194;LOGEMENT - 505050144;49.51911540;0.09511710;Occup
BL;Antenne - BL;LOGEMENT;195;LOGEMENT - 505050143;49.51911540;0.09511710;Occup
BL;Antenne - BL;LOGEMENT;197;LOGEMENT - 505050148;49.51911540;0.09511710;Occup
BL;Antenne - BL;LOGEMENT;198;LOGEMENT - 505050147;49.51911540;0.09511710;Occup
BL;Antenne - BL;LOGEMENT;199;LOGEMENT - 505050149;49.51911540;0.09511710;Occup
BL;Antenne - BL;LOGEMENT;200;LOGEMENT - 505050141;49.51911540;0.09511710;Occup
BL;Antenne - BL;LOGEMENT;201;LOGEMENT - 505050152;49.51938300;0.09510050;Occup
BL;Antenne - BL;LOGEMENT;202;LOGEMENT - 505050160;49.51938300;0.09510050;Occup
BL;Antenne - BL;LOGEMENT;203;LOGEMENT - 505050158;49.51938300;0.09510050;Occup
BL;Antenne - BL;LOGEMENT;204;LOGEMENT - 505050154;49.51938300;0.09510050;Occup
BL;Antenne - BL;LOGEMENT;205;LOGEMENT - 505050153;49.51938300;0.09510050;Occup
BL;Antenne - BL;LOGEMENT;206;LOGEMENT - 505050151;49.51938300;0.09510050;Occup
BL;Antenne - BL;LOGEMENT;207;LOGEMENT - 505050159;49.51938300;0.09510050;Occup
BL;Antenne - BL;LOGEMENT;208;LOGEMENT - 505050156;49.51938300;0.09510050;Occup
BL;Antenne - BL;LOGEMENT;209;LOGEMENT - 505050157;49.51938300;0.09510050;Occup
