ref,lat,lng,statut
20332,49.49570970,0.15335100,1
20342,49.49577880,0.15334950,1
17958,49.49597060,0.15661040,
9983,49.49602300,0.12131650,
17966,49.49604220,0.15671970,
22122,49.49607620,0.32111090,
10039,49.49616240,0.12597570,
22121,49.49616690,0.32090850,
22120,49.49620550,0.32084400,
22119,49.49633940,0.32067180,
22118,49.49637410,0.32046210,
22117,49.49639370,0.32019360,
22112,49.49642740,0.31955570,
22116,49.49643220,0.31993410,1
22115,49.49643490,0.31988200,
22113,49.49643630,0.31985590,
22111,49.49645660,0.31946450,
22110,49.49648040,0.31921200,
20480,49.49661050,0.15765960,
20429,49.49669400,0.15779670,
17179,49.49676190,0.15144670,
20376,49.49676280,0.15791600,
17120,49.49684000,0.15225570,
17134,49.49689010,0.15239420,
20540,49.49690020,0.15815450,1
22126,49.49690300,0.31918990,
9981,49.49690310,0.12033660,1
17144,49.49694020,0.15253280,
10363,49.49695170,0.12721730,
17154,49.49699020,0.15267130,
10380,49.49702670,0.12748170,
10002,49.49704030,0.11220840,
17164,49.49704030,0.15280990,
13310,49.49789670,0.10468120,
11176,49.49790220,0.10715360,
9990,49.49832600,0.12207370,1
9535,49.49833470,0.10242110,
9518,49.49837240,0.10325980,
18682,49.49889500,0.14036170,
18675,49.49906730,0.14426640,
18812,49.49909590,0.14528430,
18486,49.49911730,0.14459440,
18594,49.49912160,0.14620060,1
8030,49.49924530,0.20284080,
8130,49.49924740,0.20284570,
8042,49.49924860,0.20281890,
8115,49.49927000,0.19971980,
8054,49.49930550,0.20347220,
17066,49.49933370,0.13167540,
8029,49.49936560,0.20410360,
8032,49.49936950,0.20410750,
8075,49.49951750,0.20535520,
8100,49.49951830,0.20537750,1
8090,49.49956050,0.20287930,
8067,49.49956620,0.19963620,
18561,49.49963540,0.14399180,
8166,49.49964380,0.20413950,
8058,49.49965320,0.20669590,
8055,49.49965510,0.20665880,
8103,49.49965590,0.20665860,
18503,49.49966810,0.14366270,
8043,49.49968040,0.20286520,
18614,49.49968880,0.14610450,
8037,49.49971110,0.20417430,
8094,49.49981820,0.20539490,
18717,49.49983770,0.14226910,
8095,49.49989980,0.20543260,
8038,49.49991830,0.20417160,
8079,49.49992210,0.20078220,
8047,49.49992450,0.20074480,
17682,49.49992550,0.15927890,
17566,49.49995930,0.15807480,
8059,49.49996950,0.20674810,
8085,49.49997180,0.20671070,
10035,49.49997410,0.12823190,1
8077,49.49998170,0.20549450,
10024,49.50000360,0.13028530,
17636,49.50000760,0.15948310,
17650,49.50003680,0.15969940,
8039,49.50005390,0.20421650,
17660,49.50008860,0.15989580,
17670,49.50009800,0.16042840,
8217,49.50011690,0.20283590,
8141,49.50012470,0.20532510,
8193,49.50018610,0.20295550,
8035,49.50019250,0.20420800,
9899,49.50021070,0.12947980,
8298,49.50026090,0.20079450,
8078,49.50028370,0.20548130,
8060,49.50028610,0.20679380,1
8180,49.50028830,0.20675640,
17438,49.50030420,0.16325430,
17613,49.50030790,0.15922030,
17446,49.50031430,0.16343530,
9901,49.50031850,0.12940130,
8175,49.50035220,0.20540970,
17554,49.50035320,0.15793630,
9897,49.50038990,0.12942520,
8290,49.50039660,0.20426200,1
9898,49.50045570,0.12940520,
8044,49.50046240,0.20296770,
17454,49.50046300,0.16634610,
8036,49.50046660,0.20424440,
17462,49.50047380,0.16654000,1
17468,49.50048460,0.16673390,
8082,49.50048540,0.20092220,
8215,49.50049870,0.20299980,
8155,49.50051950,0.20092710,
17698,49.50053170,0.15973100,
8156,49.50059740,0.20084410,
8061,49.50060260,0.20683950,
8208,49.50060480,0.20680210,
8168,49.50062260,0.20681000,
8057,49.50062450,0.20684270,
8063,49.50062680,0.20680530,
18816,49.50066530,0.14207870,
8096,49.50066750,0.20552990,
8076,49.50066900,0.20550310,1
8170,49.50067060,0.20552980,
17411,49.50067300,0.14416970,
8214,49.50068930,0.20550670,
8267,49.50069150,0.20553340,
8194,49.50069340,0.20550680,
8317,49.50072730,0.20090100,
18909,49.50073280,0.17341060,
18919,49.50073750,0.17355470,1
8033,49.50073930,0.20430750,
8121,49.50074080,0.20428080,
8041,49.50074450,0.20430690,
18929,49.50074680,0.17384300,
8316,49.50076340,0.20428460,
18875,49.50079810,0.17270900,
18889,49.50080910,0.17291090,
8133,49.50081290,0.20301740,
18899,49.50081440,0.17311530,
8171,49.50084140,0.20302190,
8204,49.50087140,0.20684040,
8034,49.50088370,0.20438340,
8052,49.50091370,0.20177280,
17486,49.50122090,0.16607780,
17415,49.50122680,0.16627910,
17423,49.50123260,0.16648030,
17429,49.50123850,0.16668160,1
17476,49.50124510,0.16667260,
17906,49.50125720,0.17243410,
17935,49.50126410,0.17242560,
8003,49.50129150,0.20693720,
8046,49.50130710,0.20104800,
18853,49.50133210,0.17362220,
18863,49.50136010,0.17418850,
17741,49.50138200,0.17417980,1
17715,49.50138440,0.17418570,
18956,49.50141180,0.17238840,
8296,49.50142480,0.20565650,
8045,49.50150540,0.20316610,
17570,49.50156230,0.17798110,
19111,49.50158170,0.18212620,
19125,49.50160020,0.18227360,
19135,49.50160320,0.18230000,
19146,49.50162020,0.18247680,1
17975,49.50163530,0.17476280,
17917,49.50164990,0.17247070,
17925,49.50166220,0.17247340,1
18974,49.50169420,0.18335120,
8005,49.50170570,0.20687560,
18981,49.50171820,0.18359200,
8172,49.50172280,0.20326730,
8123,49.50172550,0.20440380,1
8089,49.50173940,0.20443240,
8198,49.50177350,0.20576270,
8160,49.50177770,0.20105270,
8107,49.50182800,0.20700490,
17774,49.50183840,0.17419350,
8124,49.50184990,0.20450710,
8021,49.50185080,0.20697650,
8125,49.50185630,0.20436420,
8236,49.50185630,0.20700290,
8108,49.50185760,0.20697610,
8080,49.50188320,0.20098220,
19072,49.50190720,0.17601580,
8145,49.50191550,0.20571190,
8135,49.50193640,0.20571560,1
8074,49.50193780,0.20766030,1
8024,49.50194280,0.20574160,
19048,49.50194970,0.17531520,
8295,49.50198660,0.20446270,
19059,49.50198700,0.17567060,
17593,49.50200240,0.16987890,
8294,49.50200540,0.20444020,
8126,49.50201240,0.20446510,
8310,49.50201290,0.20443830,
8023,49.50202520,0.20761640,
8219,49.50205650,0.20580180,
8292,49.50208240,0.20326690,
17575,49.50211530,0.16815420,
8347,49.50212260,0.20245880,
8237,49.50212700,0.20713610,
21906,49.50222080,0.22004030,
8138,49.50223020,0.20764080,1
8146,49.50224170,0.20568780,
17939,49.50224350,0.15074510,
8188,49.50225280,0.20446770,
19156,49.50226380,0.18350180,
8006,49.50226380,0.20702300,
19099,49.50226970,0.18248860,1
19085,49.50227140,0.18226700,
8127,49.50228250,0.20450020,
17803,49.50229490,0.17420720,
17230,49.50234250,0.18350410,1
17220,49.50234420,0.18330870,1
17210,49.50234750,0.18291800,1
17200,49.50235090,0.18252720,
17186,49.50235120,0.18248500,
19036,49.50235640,0.17447060,
19026,49.50235670,0.17438950,1
19012,49.50235700,0.17430840,
17312,49.50237640,0.17981220,
8182,49.50238290,0.20706370,
17830,49.50241120,0.17259890,
17854,49.50241180,0.17295470,
17844,49.50241210,0.17283250,1
17866,49.50241730,0.17261300,
8199,49.50241980,0.20570110,
8173,49.50243510,0.20766520,
8248,49.50244300,0.20328150,
17388,49.50245070,0.17471270,
17288,49.50245370,0.17947740,
17336,49.50245650,0.17430490,
