ref,lat,lng,statut
9056,49.48781430,0.10176460,0
9204,49.48793650,0.10207080,1
8475,49.48794350,0.10888200,0
9735,49.48797610,0.11442800,0
8989,49.48806950,0.10153420,0
8411,49.48817210,0.11006700,0
9003,49.48819720,0.10141900,1
9013,49.48832480,0.10130380,1
8425,49.48836660,0.10989160,1
19361,49.48839450,0.14952210,0
9023,49.48845240,0.10118860,1
8435,49.48856110,0.10971610,1
9033,49.48857930,0.10107060,0
19871,49.48864730,0.16299940,1
9043,49.48870490,0.10095010,1
21786,49.48875090,0.14490990,0
8445,49.48875560,0.10954070,0
8455,49.48895010,0.10936520,0
8465,49.48914460,0.10918980,1
8408,49.48916400,0.10919400,1
20883,49.48917940,0.13960400,0
21771,49.48922030,0.14504540,0
9606,49.48922080,0.11390140,0
21009,49.48932270,0.14906180,0
20943,49.48935160,0.13928940,0
20953,49.48935350,0.13950310,0
21010,49.48939330,0.14917010,0
9580,49.48940600,0.11306730,0
21011,49.48947080,0.14925270,0
20933,49.48952280,0.13896040,0
21007,49.48956300,0.14926570,0
21719,49.48957480,0.14444090,0
21008,49.48963120,0.14917030,0
21867,49.48966720,0.14519430,1
20684,49.48968940,0.13863950,0
21701,49.48969910,0.14424750,0
20643,49.48971330,0.13862520,1
21012,49.48991370,0.14873700,0
20897,49.48994010,0.14099050,0
20790,49.48994820,0.13892660,0
21032,49.48995060,0.14809690,0
21755,49.48996170,0.14385820,1
20861,49.48998060,0.14025050,0
21013,49.48998430,0.14862870,0
20832,49.49004950,0.14006290,1
21014,49.49005490,0.14852040,0
21015,49.49012550,0.14841210,0
21017,49.49014160,0.14838760,1
20965,49.49014970,0.13983690,1
20979,49.49016300,0.13985410,1
20810,49.49018310,0.13922800,1
21018,49.49021350,0.14827920,1
20907,49.49025990,0.14058560,0
21019,49.49028550,0.14817070,0
21020,49.49035740,0.14806220,0
21660,49.49037850,0.14261250,1
20721,49.49041800,0.13952930,0
21021,49.49042940,0.14795380,0
21022,49.49050130,0.14784530,1
21673,49.49051240,0.14265000,1
21023,49.49057330,0.14773680,0
21029,49.49059400,0.14718620,1
21033,49.49059850,0.14718180,0
21688,49.49061760,0.14289170,0
20750,49.49064360,0.13984870,0
21024,49.49064520,0.14762840,0
21027,49.49066180,0.14730080,1
21025,49.49071710,0.14751990,0
21026,49.49072950,0.14741550,0
21035,49.49104740,0.14118300,1
8813,49.49127710,0.11549460,0
8803,49.49131470,0.11429240,1
8823,49.49136050,0.11545490,1
8789,49.49137270,0.11436200,1
9663,49.49139160,0.11782770,0
21888,49.49141500,0.14558610,1
9653,49.49147420,0.11734730,1
9643,49.49147980,0.11715350,0
9615,49.49148360,0.11696840,1
8858,49.49148660,0.11521230,1
8850,49.49149690,0.11491120,1
8849,49.49150730,0.11461020,0
8835,49.49151760,0.11430910,0
9673,49.49164450,0.11777420,0
19309,49.49194860,0.14152090,1
19329,49.49208470,0.14125840,1
19357,49.49215570,0.14113080,1
20564,49.49217450,0.13995110,0
20287,49.49218170,0.13989570,1
19901,49.49225450,0.13830240,1
19913,49.49232510,0.13857820,0
19954,49.49238360,0.13880360,1
19944,49.49241240,0.13894630,1
17944,49.49249650,0.14847560,1
20372,49.49249660,0.13967420,0
20355,49.49252340,0.13992140,1
21646,49.49270800,0.14893570,1
21097,49.49291180,0.14947380,0
21178,49.49292880,0.14952710,0
21261,49.49294580,0.14958040,1
21368,49.49296280,0.14963370,1
21450,49.49304770,0.14930140,0
20608,49.49315000,0.13976350,0
9439,49.49315200,0.12012050,0
19983,49.49346910,0.14124820,1
19997,49.49351280,0.14142460,1
19221,49.49353070,0.14251750,0
20012,49.49355650,0.14160110,1
20027,49.49360020,0.14177760,0
20583,49.49362230,0.14194190,1
20596,49.49362850,0.14218990,1
20039,49.49364390,0.14195410,0
20054,49.49368760,0.14213060,1
20621,49.49371730,0.14233260,0
20066,49.49373130,0.14230700,0
20553,49.49381910,0.13935430,1
20094,49.49422590,0.14075290,1
